brand,KMs Driven,fuel,owner,price
Toyota,1,Diesel,First Owner,2100000
Suzuki,100000,Petrol,Second Owner,380000
Suzuki,12345,CNG,Third Owner,340000
Suzuki,94000,Petrol,Fourth and Above Owner,535000
Toyota,100000,Petrol,Test Drive Car,1430000
Toyota,80000,Petrol,First Owner,1620000
Suzuki,65000,CNG,Second Owner,450000
Toyota,10241,Petrol,Third Owner,2900000
Suzuki,83000,CNG,Fourth and Above Owner,490000
Honda,1,Petrol,Test Drive Car,480000
Suzuki,123,CNG,First Owner,230000
Suzuki,73000,CNG,Second Owner,535000
Toyota,78000,Petrol,Third Owner,770000
Honda,1,Petrol,Fourth and Above Owner,490000
Honda,170000,CNG,Test Drive Car,160000
Suzuki,200000,Petrol,First Owner,425000
Daihatsu,100000,Petrol,Second Owner,180000
Mitsubishi,82000,Petrol,Third Owner,520000
Suzuki,10000,CNG,Fourth and Above Owner,400000
Honda,69500,Petrol,Test Drive Car,1400000
Suzuki,10000,CNG,First Owner,175000
KIA,123456,CNG,Second Owner,120000
Honda,87611,CNG,Third Owner,590000
Honda,19000,Hybrid,Fourth and Above Owner,425000
Honda,99000,CNG,Test Drive Car,685000
Suzuki,88000,CNG,First Owner,465000
Toyota,75000,Petrol,Second Owner,1190000
Other Brands,124000,Petrol,Third Owner,850000
Suzuki,76000,CNG,Fourth and Above Owner,370000
Nissan,47000,Petrol,Test Drive Car,1175000
Toyota,43000,Petrol,First Owner,1675000
Suzuki,3875,CNG,Second Owner,195000
Suzuki,98000,CNG,Third Owner,165000
Suzuki,1000,Petrol,Fourth and Above Owner,420000
Toyota,39000,Petrol,Test Drive Car,1430000
Suzuki,127000,CNG,First Owner,150000
Suzuki,786,LPG,Second Owner,130000
Suzuki,70,CNG,Third Owner,415000
Suzuki,99999,CNG,Fourth and Above Owner,185000
Toyota,89000,Petrol,Test Drive Car,1040000
Suzuki,1,CNG,First Owner,400000
Suzuki,100000,Petrol,Second Owner,360000
Toyota,69000,Petrol,Third Owner,1150000
Suzuki,65000,CNG,Fourth and Above Owner,265000
Suzuki,73000,CNG,Test Drive Car,435000
Toyota,163000,Petrol,First Owner,1220000
Suzuki,56,CNG,Second Owner,780000
Suzuki,10000,CNG,Third Owner,250000
Toyota,190,Petrol,Fourth and Above Owner,875000
Toyota,65000,CNG,Test Drive Car,1260000
Suzuki,65000,Petrol,First Owner,840000
Suzuki,174000,CNG,Second Owner,350000
Suzuki,5458,Petrol,Third Owner,380000
Suzuki,90000,Petrol,Fourth and Above Owner,340000
Daihatsu,88000,Petrol,Test Drive Car,1050000
Toyota,200000,CNG,First Owner,730000
Suzuki,28800,CNG,Second Owner,195000
Honda,95000,Petrol,Third Owner,1070000
Daihatsu,71000,CNG,Fourth and Above Owner,410000
Daihatsu,100,CNG,Test Drive Car,155000
Suzuki,1,CNG,First Owner,320000
Toyota,134000,Diesel,Second Owner,1080000
Suzuki,1,CNG,Third Owner,290000
Toyota,123456,Petrol,Fourth and Above Owner,570000
Toyota,92000,Petrol,Test Drive Car,4150000
Suzuki,1,CNG,First Owner,90000
Suzuki,36000,Petrol,Second Owner,590000
Toyota,40000,Petrol,Third Owner,1740000
Toyota,85010,Petrol,Fourth and Above Owner,916000
Daihatsu,153736,Petrol,Test Drive Car,535000
Suzuki,17000,CNG,First Owner,110000
Honda,100000,Petrol,Second Owner,765000
Toyota,130000,Petrol,Third Owner,1150000
Suzuki,150000,Petrol,Fourth and Above Owner,410000
Suzuki,17000,CNG,Test Drive Car,110000
Honda,100000,Petrol,First Owner,765000
Toyota,130000,Petrol,Second Owner,1150000
Suzuki,150000,Petrol,Third Owner,410000
Toyota,55000,Petrol,Fourth and Above Owner,1890000
Suzuki,70000,Petrol,Test Drive Car,790000
Daihatsu,102000,Petrol,First Owner,785000
Suzuki,1700000,Petrol,Second Owner,270000
Toyota,100000,CNG,Third Owner,150000
BMW,53524,CNG,Fourth and Above Owner,550000
Mazda,78000,Petrol,Test Drive Car,825000
Toyota,40000,Diesel,First Owner,3850000
Suzuki,90000,Petrol,Second Owner,490000
Toyota,40000,Petrol,Third Owner,1250000
Daihatsu,80000,Petrol,Fourth and Above Owner,135000
Mitsubishi,96000,Petrol,Test Drive Car,780000
Other Brands,38000,Diesel,First Owner,4500000
Suzuki,83000,Petrol,Second Owner,430000
Honda,10900,Petrol,Third Owner,2880000
Toyota,64600,Petrol,Fourth and Above Owner,975000
Suzuki,80000,Petrol,Test Drive Car,440000
Suzuki,85000,CNG,First Owner,440000
Suzuki,52000,CNG,Second Owner,400000
Suzuki,1,CNG,Third Owner,305000
Suzuki,48000,Petrol,Fourth and Above Owner,450000
Suzuki,50000,Petrol,Test Drive Car,1140000
